"id","time_created","planter_id","image_url","lat","lon","gps_accuracy","token_id"
997657,"2020-11-12 07:19:11",5839,"https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2020.11.12.07.19.23_8.441370000000001_-13.182068333333332_7b4f2d3f-f8e9-4663-af1b-a24dfa744272_IMG_20201112_071758_4271495926918249699.jpg","8.451370000000002","-13.17206833333333",1,"23ebbf42-0ad9-4293-b6f7-658f52e04a01"
995667,"2020-11-12 07:21:34",5876,"https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2020.11.12.07.21.36_8.441370000000001_-13.182115_01838a7e-99ef-4f1e-bee1-905c493ace11_IMG_20201112_072036_1615975136116836380.jpg","8.451370000000002","-13.172114999999998",1,NULL
997627,"2020-11-12 07:23:51",5848,"https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2020.11.12.14.41.31_8.441353333333332_-13.182083333333333_055a52d1-7688-4299-87f7-b3e0fb3b91d6_IMG_20201112_072300_8870411352929096221.jpg","8.451353333333333","-13.172083333333331",1,"54ae9b81-82d3-43cd-953d-eda26775f488"
995645,"2020-11-12 07:24:36",5860,"https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2020.11.12.14.41.34_8.441355_-13.182115_c6cb9b36-c749-49e6-889d-a3f0cd841eb4_IMG_20201112_072354_4165839946720270488.jpg","8.451355000000001","-13.172114999999998",1,NULL
995487,"2020-11-12 07:25:22",5832,"https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2020.11.12.14.41.35_8.441341666666666_-13.182035_b4618b15-cb47-4712-bdf6-26aa9af986f7_IMG_20201112_072450_8844518567626916883.jpg","8.451341666666668","-13.172035",1,NULL
995653,"2020-11-12 07:26:06",5856,"https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2020.11.12.14.41.36_8.441353333333332_-13.182113333333332_6339403f-c1a3-49f6-b063-bed97930cbbd_IMG_20201112_072531_321886775864278503.jpg","8.451353333333333","-13.17211333333333",1,NULL
995486,"2020-11-12 07:26:45",5864,"https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2020.11.12.14.41.37_8.441323333333335_-13.182093333333334_e36abdad-c7ea-44cd-aee0-d7f351f63cc2_IMG_20201112_072609_838986173602954742.jpg","8.451323333333336","-13.172093333333333",1,NULL
997659,"2020-11-12 07:28:32",5835,"https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2020.11.12.14.41.38_8.441328333333333_-13.182115_bac495d7-1f26-47e3-9f4a-b6ce8eed72e0_IMG_20201112_072752_9178027348150668198.jpg","8.451328333333334","-13.172114999999998",1,"f060b6e3-b66e-4df7-9bf7-9b06e39505b7"
1672286,"2020-11-12 07:27:48",22665,"https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2020.11.12.14.41.38_8.441351666666666_-13.18211_5b5e537e-2df4-41a4-85b9-53f3e42db9cb_IMG_20201112_072700_3874574890690081542.jpg","8.451351666666667","-13.172109999999998",1,"fbe9f448-c8f7-4a98-a534-c97076c2135a"
995583,"2020-11-12 07:29:31",5852,"https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2020.11.12.14.41.39_8.441331666666667_-13.182108333333334_1cfabfea-a291-4bf2-9543-253f18d8fd4e_IMG_20201112_072836_3230782305234840375.jpg","8.451331666666668","-13.172108333333332",1,NULL
992736,"2020-11-12 07:30:09",5846,"https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2020.11.12.14.41.40_8.441326666666667_-13.182091666666668_944eddb2-a446-49f1-94bf-fed08c78a9aa_IMG_20201112_072935_6847536819109793682.jpg","8.451326666666668","-13.172091666666667",1,NULL
997641,"2020-11-12 07:31:01",5850,"https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2020.11.12.14.41.41_8.441325_-13.182076666666667_eede92d8-4c92-485f-b6c8-a8af0d77ea89_IMG_20201112_073021_5831253451127092297.jpg","8.451325000000002","-13.172076666666666",1,"140afdec-c6d8-457e-a349-9cb17e4688b8"
992722,"2020-11-12 07:32:02",5837,"https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2020.11.12.14.41.42_8.441345_-13.18209_c0070a8d-a086-47d7-923a-10d7c4fac137_IMG_20201112_073113_2703953300564736435.jpg","8.451345000000002","-13.172089999999999",1,NULL
987688,"2020-11-12 07:32:49",5838,"https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2020.11.12.14.41.43_8.441325_-13.182061666666668_9d8782b7-1a62-4486-b867-f7c5317ba509_IMG_20201112_073207_468695822905242721.jpg","8.451325000000002","-13.172061666666666",1,NULL
997652,"2020-11-12 07:33:35",5873,"https://treetracker-production-images.s3.eu-central-1.amazonaws.com/2020.11.12.14.41.44_8.44132_-13.182071666666666_ac0509a4-f7fe-4902-9dd4-ba2d670fe72e_IMG_20201112_073254_9021041017802234076.jpg","8.45132","-13.172071666666664",1,"067af759-8bbb-4d7e-af9c-1e26d6fdbd6e"
